tag,slope,trend
conditional-statements,-4.18136710053991E-06,negative
foreach,-4.16216584411772E-06,negative
ios16,-4.15191567570353E-06,negative
ruby-on-rails,-4.14868956323193E-06,neutral
data-structures,-3.98759234685429E-06,negative
async-await,-3.97708420996692E-06,negative
time,-3.95935557293319E-06,negative
xcode5,-3.94950129659486E-06,negative
laravel-5.5,-3.9402426701025E-06,negative
axios,-3.88689293884649E-06,negative
android-layout,-3.86836578303348E-06,negative
append,-3.84406167904272E-06,negative
django-rest-framework,-3.79922828273194E-06,negative
vector,-3.76615074077698E-06,negative
struct,-3.74031479863947E-06,negative
concatenation,-3.72130235599572E-06,negative
ios8.1,-3.65678185255663E-06,negative
eloquent,-3.64595333914984E-06,negative
data-science,-3.48833182809504E-06,negative
aggregation-framework,-3.47987913564563E-06,negative
parsing,-3.42839802085885E-06,negative
scala,-3.39621048995422E-06,negative
react-router,-3.38527038728286E-06,negative
google-sheets-formula,-3.38377843272233E-06,negative
hashmap,-3.37746130514453E-06,negative
django-templates,-3.35388985818564E-06,negative
java-stream,-3.26117300472722E-06,negative
solana,-3.24080968991769E-06,negative
selenium,-3.19665105034311E-06,negative
xcode4.6,-3.1210291497069E-06,negative
unix,-3.10076810905245E-06,negative
awk,-3.01728387226546E-06,negative
cypress,-3.00895073603858E-06,negative
xcode11,-2.98383953478191E-06,negative
cmd,-2.97297706798461E-06,negative
sed,-2.96435037335808E-06,negative
duplicates,-2.95283893415518E-06,negative
dnx,-2.94853611389856E-06,negative
rxjs,-2.94391098720895E-06,negative
multiple-columns,-2.92800817949458E-06,negative
txt,-2.92087366405712E-06,negative
bootstrap-4,-2.88796576393004E-06,negative
prolog,-2.87664034231788E-06,negative
macos-big-sur,-2.87522758045006E-06,negative
tridion-2011,-2.87330758396845E-06,negative
arraylist,-2.8565156336847E-06,negative
scrapy,-2.81599649958706E-06,negative
netbeans6.5,-2.76644665932488E-06,negative
plot,-2.73960758048075E-06,negative
entity-framework-4.3,-2.7347756567794E-06,negative
angular-cli-v6,-2.73245940709792E-06,negative
char,-2.69260656096555E-06,negative
numbers,-2.68504960860925E-06,negative
functional-programming,-2.6117631447603E-06,negative
xcode13,-2.60152789234122E-06,negative
vuejs2,-2.59844291688961E-06,negative
django-queryset,-2.59343972827403E-06,negative
xcode7.3,-2.58651510444429E-06,negative
promise,-2.52970621560503E-06,negative
scikit-learn,-2.50323838881169E-06,negative
firefox-3,-2.50206656626984E-06,negative
seaborn,-2.48540571470064E-06,negative
substring,-2.42848313730854E-06,negative
laravel-5.4,-2.36454241322363E-06,negative
twitter-bootstrap,-2.36360117667169E-06,neutral
math,-2.31077895065453E-06,negative
redux-toolkit,-2.31021586657188E-06,negative
list-comprehension,-2.28885746587859E-06,negative
swift4.1,-2.25664643939578E-06,negative
max,-2.252757334771E-06,negative
iteration,-2.23978570059485E-06,negative
xamarin.android,-2.22966179211929E-06,negative
iterator,-2.21515356695683E-06,negative
collections,-2.2005827460576E-06,negative
text,-2.19440411036444E-06,negative
ios4,-2.18419236115385E-06,neutral
jsp,-2.12905622171174E-06,negative
django-forms,-2.12706955258538E-06,negative
android-recyclerview,-2.12596569577964E-06,negative
office-automation,-2.1115195590174E-06,negative
google-sheets-query,-2.10677297911886E-06,negative
apple-m1,-2.0801930637602E-06,negative
xcode10,-2.07465441040711E-06,negative
grep,-2.05642174091648E-06,negative
boolean,-2.05115982646686E-06,negative
scala-2.8,-2.04303043005431E-06,negative
slice,-2.02988660242382E-06,negative
.net-5,-2.01947062838379E-06,neutral
solana-web3js,-1.979962793605E-06,negative
python-re,-1.96637255989435E-06,negative
pyqt5,-1.95626199036396E-06,negative
nested,-1.95196383465893E-06,negative
timestamp,-1.94219221964878E-06,negative
android-studio-2.0,-1.93662337011652E-06,negative
return,-1.92541118586982E-06,negative
react-props,-1.92308847866961E-06,negative
asp.net-mvc,-1.91751421613556E-06,neutral
ffmpeg,-1.90940561320411E-06,negative
react-bootstrap,-1.90926822024076E-06,negative
scanf,-1.9079655004271E-06,negative
ethereum,-1.88980187629166E-06,negative
compare,-1.88548336269539E-06,negative
javascript-objects,-1.86313367888676E-06,negative
android-studio-2.1,-1.85293954057776E-06,negative
netbeans6.7,-1.82279122110537E-06,negative
angular15,-1.82084360032814E-06,negative
react-router-dom,-1.78349554063402E-06,negative
momentjs,-1.77003873487385E-06,negative
css-selectors,-1.75899244506143E-06,negative
set,-1.75127360605318E-06,negative
merge,-1.74499094534558E-06,negative
iphone-sdk-3.2,-1.74057834490672E-06,negative
substrate,-1.7358676844046E-06,negative
symfony-3.2,-1.73553640348146E-06,negative
reduce,-1.71875037025923E-06,negative
time-complexity,-1.71269982245979E-06,negative
xcode14,-1.71042079623563E-06,negative
ef-core-3.0,-1.7055987381782E-06,negative
nested-lists,-1.69715470227803E-06,negative
typescript1.8,-1.68702342361355E-06,negative
ios15,-1.68320177239612E-06,negative
virtual-earth,-1.66599864725528E-06,negative
java-10,-1.64896480436001E-06,negative
netbeans6.8,-1.63896292410774E-06,negative
c++11,-1.63764776293328E-06,negative
regex-group,-1.63507075891349E-06,negative
joomla1.7,-1.63106188975943E-06,negative
c-strings,-1.61973410714764E-06,negative
ef-core-2.2,-1.60582061690621E-06,negative
google-gdk,-1.59506237457623E-06,negative
t-sql,-1.58239539050203E-06,neutral
flatten,-1.57936775856445E-06,negative
merb,-1.5642512602766E-06,negative
asp.net-core-1.1,-1.55063646639586E-06,negative
select,-1.54847443505995E-06,negative
famo.us,-1.52651646896182E-06,negative
mysqli,-1.52262589368335E-06,negative
android-studio-2.3,-1.51389176635856E-06,negative
binary-search-tree,-1.50230977003986E-06,negative
ios14,-1.4997364651284E-06,negative
dynamic-css,-1.49792417173294E-06,negative
mutate,-1.49187062883953E-06,negative
android-studio-2.2,-1.49060332213617E-06,negative
macos-monterey,-1.48953090949903E-06,negative
state,-1.48611240173461E-06,negative
orchardcms-1.6,-1.48405754894877E-06,negative
angular4-forms,-1.48142557868218E-06,negative
confluent-platform,-1.4735842535693E-06,negative
button,-1.47157248790755E-06,negative
laravel-6.2,-1.47091407186644E-06,negative
nested-loops,-1.46228853572608E-06,negative
mysql-workbench,-1.44412372165368E-06,negative
plsql,-1.43952984366258E-06,negative
null,-1.43772946759048E-06,negative
virtual-pc,-1.43685731317042E-06,negative
syntax,-1.43129737320151E-06,negative
brownie,-1.43024125739092E-06,negative
ios-4.2,-1.4246147398512E-06,negative
midp,-1.41805874476139E-06,negative
mapping,-1.41082976794594E-06,negative
ios7.1,-1.40422595995431E-06,negative
data-manipulation,-1.40072347872137E-06,negative
ubuntu-11.10,-1.39592195042931E-06,negative
windows-phone-8.1,-1.39454722716905E-06,neutral
observable,-1.38726295397535E-06,negative
subquery,-1.37839155224246E-06,negative
case,-1.37728532882022E-06,negative
cs3,-1.37279319816169E-06,negative
hiveql,-1.36830389608013E-06,negative
switch-statement,-1.36652785542877E-06,negative
react-navigation-v5,-1.35069617637235E-06,negative
find,-1.34654624682418E-06,negative
aggregate,-1.34206769188301E-06,negative
triggers,-1.33952172252593E-06,negative
xcode10.1,-1.32803551547039E-06,negative
ubuntu-13.10,-1.32686783799171E-06,neutral
angular14,-1.32675503919727E-06,negative
angular4-router,-1.32310550635092E-06,negative
scripting,-1.32173718457676E-06,negative
nosql,-1.31906542711012E-06,negative
jq,-1.31593750208547E-06,negative
flutter-getx,-1.31262835862325E-06,negative
arguments,-1.30119554489355E-06,negative
blackberry-storm,-1.29903376135543E-06,negative
google-wave,-1.29788757204532E-06,negative
sql-update,-1.29731995711502E-06,negative
angular-material-5,-1.29270750118954E-06,negative
malloc,-1.28106542334056E-06,negative
django-2.1,-1.27921449120668E-06,negative
big-o,-1.27653927032253E-06,negative
boto3,-1.2737723482958E-06,negative
admin-on-rest,-1.27142827728923E-06,negative
subsonic3,-1.26835158309068E-06,negative
nft,-1.26655360896505E-06,negative
google-query-language,-1.25421425572332E-06,negative
angular-material-6,-1.25416848382367E-06,negative
constructor,-1.24971708556134E-06,negative
printf,-1.24405826931917E-06,negative
embedded-language,-1.2419841053674E-06,negative
macos-ventura,-1.24107506975138E-06,negative
xcode7,-1.24049970480297E-06,neutral
range,-1.22957209208255E-06,negative
vuex,-1.22345759360092E-06,negative
comparison,-1.21971959399319E-06,negative
webdriverwait,-1.21953426675854E-06,negative
anchor-solana,-1.21296535901493E-06,negative
typescript1.5,-1.20898650433144E-06,negative
android-fragments,-1.20775692259274E-06,neutral
match,-1.20103193876899E-06,negative
change-management,-1.20034185400959E-06,negative
matrix,-1.19853386964407E-06,negative
output,-1.19370518241326E-06,negative
series,-1.19218294918992E-06,negative
cakephp-2.2,-1.1904412963207E-06,negative
dvorak,-1.19029579847422E-06,negative
angular13,-1.18988739303053E-06,negative
dom,-1.18974801730232E-06,negative
row,-1.18691700041612E-06,negative
networkx,-1.18561881069458E-06,negative
ios5.1,-1.18005736288495E-06,negative
watchos-2,-1.17204042881645E-06,negative
interface,-1.16300363658853E-06,negative
afnetworking-2,-1.15914692983723E-06,negative
xval,-1.15831945298864E-06,negative
xcode8.2,-1.15489202667035E-06,neutral
data.table,-1.15466345346406E-06,negative
iphone-sdk-3.0,-1.15005884501904E-06,neutral
ajax,-1.14978681560106E-06,neutral
iad,-1.14923633419201E-06,negative
hash,-1.13985483315252E-06,negative
user-input,-1.13926157303201E-06,negative
oracle-sqldeveloper,-1.13250201493604E-06,negative
stringr,-1.12962672401387E-06,negative
symfony-2.4,-1.11857751472542E-06,negative
swift5,-1.10583041650676E-06,negative
stack,-1.09925407973681E-06,negative
symfony-3.3,-1.09838007814773E-06,negative
java-14,-1.09579953419429E-06,negative
graph,-1.08760098962348E-06,negative
grails-3.1,-1.08569713878212E-06,negative
key,-1.0854137008008E-06,negative
name-decoration,-1.08161263716538E-06,negative
google-gears,-1.08079218040706E-06,negative
design-patterns,-1.0723349040948E-06,negative
react-functional-component,-1.06843182804932E-06,negative
try-catch,-1.06712052763602E-06,negative
html-table,-1.06426219592657E-06,negative
sourcegear-vault,-1.06167809588139E-06,neutral
.nettiers,-1.05944034064202E-06,negative
webpack-2,-1.05918432648837E-06,neutral
codeigniter,-1.05895769925448E-06,neutral
pine-script,-1.05517109432682E-06,negative
counter,-1.05004712541554E-06,negative
dsl-tools,-1.04972909444421E-06,negative
zurb-foundation-5,-1.0495485761169E-06,negative
python-imaging-library,-1.04492337828874E-06,negative
setinterval,-1.03911275428837E-06,negative
vlookup,-1.03280869477646E-06,negative
enums,-1.02828720517733E-06,negative
ios13,-1.02657849284318E-06,neutral
human-computer-interface,-1.02007922181523E-06,neutral
asp.net-core-3.1,-1.01504607578444E-06,negative
build-process,-1.00945018184132E-06,negative
xcode4.2,-1.00434696335336E-06,neutral
django-1.7,-1.00253317602779E-06,negative
binary-tree,-1.00173417690854E-06,negative
magento-1.9.1,-9.94329248752453E-07,negative
kaa,-9.9195328735656E-07,negative
orchardcms-1.7,-9.90832019525505E-07,negative
mod-rewrite,-9.90075965691134E-07,neutral
pysimplegui,-9.86901308474855E-07,negative
localconnection,-9.85438503078531E-07,negative
regional,-9.81922657005776E-07,negative
ubuntu-10.10,-9.8187706867164E-07,negative
perl,-9.73594120354861E-07,neutral
keras,-9.71161375795837E-07,neutral
modalpopups,-9.67629704951063E-07,negative
tortoisecvs,-9.67111381142492E-07,negative
vwdexpress,-9.63210259781599E-07,negative
three20,-9.593897351815E-07,negative
sdlc,-9.50698090017613E-07,negative
react-native-flatlist,-9.43808729597766E-07,negative
nearprotocol,-9.42997675706067E-07,negative
playframework-2.4,-9.42695590211856E-07,negative
sequence,-9.40329452980577E-07,negative
django-urls,-9.32391361547129E-07,negative
where-clause,-9.32302564781995E-07,negative
pymongo,-9.31253462661203E-07,negative
turtle-graphics,-9.24173157805505E-07,negative
fig,-9.22884369107142E-07,negative
android-c2dm,-9.16071204910845E-07,negative
nodes,-9.1569839414214E-07,negative
weborb,-9.13746571206635E-07,negative
swift4,-9.1359251626341E-07,neutral
hungarian-notation,-9.1340185046441E-07,negative
friendly-url,-9.11091338072181E-07,negative
soap4r,-9.09500791397772E-07,negative
windows-phone-7,-9.03211798440516E-07,neutral
ef-core-5.0,-9.01022240002138E-07,negative
logic,-9.00743532983539E-07,negative
nerddinner,-8.99257204271971E-07,negative
titan,-8.9923282589895E-07,negative
metaplex,-8.97374053216523E-07,negative
asp.net-core-5.0,-8.96737597808058E-07,negative
eclipse-3.5,-8.96206599310004E-07,negative
wml,-8.94725356901222E-07,negative
combinations,-8.92706075206728E-07,negative
wss-3.0,-8.90181218646777E-07,negative
attributes,-8.89442103200596E-07,negative
ef-core-2.1,-8.88921579573246E-07,negative
permutation,-8.88074008009247E-07,negative
laravel-5.8,-8.87849311171922E-07,neutral
opensolaris,-8.81057588113769E-07,negative
type-conversion,-8.80899503402907E-07,negative
character,-8.79023022539769E-07,negative
httpapplication,-8.78651213923438E-07,negative
django-3.0,-8.77352021713516E-07,negative
symfony-2.5,-8.77095543714201E-07,negative
searchlogic,-8.760510658337E-07,negative
regexp-replace,-8.7591727785499E-07,negative
visual-c++-2005,-8.73787721108847E-07,negative
ubuntu-11.04,-8.73733712506326E-07,negative
subsonic2.2,-8.73489632783126E-07,negative
django-2.2,-8.64857312340581E-07,negative
table-structure,-8.62818566201625E-07,negative
coinbase-api,-8.61538736167651E-07,negative
castle-monorail,-8.60598508253576E-07,negative
local-storage,-8.59715640877201E-07,negative
firebase,-8.58716764686721E-07,neutral
android-12,-8.56549141947135E-07,negative
python-stackless,-8.51893265886641E-07,negative
ios8-today-widget,-8.50778545760279E-07,negative
principles,-8.48385886621259E-07,negative
windows-phone,-8.4710332831105E-07,negative
jrun,-8.46472098216805E-07,negative
lodash,-8.45715780815652E-07,negative
fbml,-8.44923235418326E-07,negative
dynamic-memory-allocation,-8.44891162173853E-07,negative
readdirectorychangesw,-8.44046962863826E-07,negative
entity-framework-6.1,-8.41994146954815E-07,negative
asp.net-core-6.0,-8.40617856316445E-07,negative
unique,-8.37545601894725E-07,negative
scope,-8.36288092415641E-07,negative
datetime-format,-8.33314158742531E-07,negative
settimeout,-8.32328124198762E-07,negative
ruby-1.9.2,-8.27226851029511E-07,negative
tokyo-cabinet,-8.2478951123305E-07,negative
ajax.net,-8.21481944529009E-07,negative
key-value,-8.20815663731676E-07,negative
office-2003,-8.20352885699894E-07,negative
bixby,-8.17621257078973E-07,negative
converters,-8.15763910927427E-07,negative
eclipse-neon,-8.15151188295449E-07,negative
twitter-fabric,-8.14683529649106E-07,negative
datarelation,-8.11670717736475E-07,negative
delicious-api,-8.10973255345904E-07,negative
option-type,-8.10007575172929E-07,negative
nhibernate.search,-8.07604082505513E-07,negative
cairngorm,-8.07446376876156E-07,negative
typescript-typings,-8.05786966218553E-07,negative
myspace,-8.04319436859281E-07,negative
ubuntu-12.10,-7.98617973067955E-07,negative
atom-editor,-7.96324112295429E-07,negative
code-golf,-7.95816215585305E-07,negative
django-orm,-7.93618495297705E-07,negative
.net-core-2.1,-7.92107928813323E-07,negative
link-to-remote,-7.91745277180985E-07,negative
platform-builder,-7.90091906064029E-07,negative
magic-quotes,-7.87761805977333E-07,neutral
java.util.scanner,-7.86180816645301E-07,negative
google-mirror-api,-7.85978492477989E-07,negative
python-itertools,-7.83967551293976E-07,negative
byte,-7.80174498012225E-07,negative
.net-client-profile,-7.78227814294858E-07,negative
cvs2svn,-7.76327987692482E-07,negative
sketchflow,-7.75363949805057E-07,negative
webdev.webserver,-7.71694678389048E-07,negative
wmd-editor,-7.70617892435591E-07,negative
mda,-7.70612113148081E-07,neutral
outlook-object-model,-7.7008966633289E-07,negative
silverlight-3.0,-7.68953468519993E-07,neutral
ios11,-7.68494296936242E-07,neutral
wii,-7.65604850312884E-07,negative
acts-as-taggable,-7.65028489190065E-07,negative
django-serializer,-7.64447040735542E-07,negative
calculator,-7.6384675852937E-07,negative
cldc,-7.63037234137813E-07,negative
syndication,-7.6278518960084E-07,negative
processing,-7.61404238354977E-07,negative
tilelist,-7.60954278211989E-07,negative
ngcordova,-7.59827754430488E-07,negative
portable-class-library,-7.5910394440924E-07,negative
skins,-7.57774819444993E-07,negative
dynamic-languages,-7.55714823111377E-07,negative
automapper,-7.54677946512624E-07,negative
angular2-components,-7.54377804045703E-07,negative
ruby-on-rails-5.2,-7.53783775534631E-07,negative
soappy,-7.53585621367108E-07,negative
facebooker,-7.52036616998371E-07,negative
ios9.3,-7.51804231946623E-07,negative
data-cleaning,-7.51071199857981E-07,negative
sqlmetal,-7.49878653613218E-07,negative
code-migration,-7.48952831640208E-07,negative
gs-vlookup,-7.46420670125872E-07,negative
angular4-httpclient,-7.46248805342138E-07,negative
apply,-7.45719543349246E-07,negative
firebasesimplelogin,-7.43096332882427E-07,negative
average,-7.42795052053532E-07,negative
asp.net5,-7.4223413660602E-07,negative
tweepy,-7.41284759162036E-07,negative
symfony-2.6,-7.39805504381844E-07,negative
jquery-1.4,-7.35310580463196E-07,negative
binary,-7.3437875050278E-07,negative
smartcontracts,-7.33005389560407E-07,negative
ios6.1,-7.32994927364185E-07,negative
laravel-7,-7.32623489115294E-07,neutral
unityscript,-7.32097903054762E-07,negative
xemacs,-7.28159070271379E-07,negative
visual-studio-2019,-7.26982567051872E-07,neutral
rsl,-7.22932856611618E-07,negative
mod-dav-svn,-7.22575910224259E-07,negative
future,-7.22233273523596E-07,negative
exchange-server-2003,-7.20493765026314E-07,negative
playframework-2.0,-7.18510194598302E-07,negative
digg,-7.14746232799251E-07,negative
presto,-7.14060484295694E-07,negative
lgpl,-7.13435878802421E-07,negative
gui-designer,-7.12649860440879E-07,negative
blackberry-playbook,-7.10998193633697E-07,negative
lubridate,-7.0885806652123E-07,negative
playframework-2.5,-7.08627184285648E-07,negative
onclick,-7.08070332170316E-07,negative
pine-script-v4,-7.07981254015835E-07,negative
entity-framework-4.1,-7.07324419108485E-07,neutral
premature-optimization,-7.06546642269946E-07,negative
plpgsql,-7.06286358956102E-07,negative
refactoring,-7.04925878018326E-07,negative
oxygene,-7.04602191497168E-07,negative
spring-data-neo4j-4,-7.03818539299449E-07,negative
openlayers-5,-7.01648937542672E-07,negative
ubuntu-15.04,-6.99969598522203E-07,negative
papervision3d,-6.99214682524747E-07,negative
export-to-csv,-6.98314689215416E-07,negative
routedevent,-6.94185179221445E-07,negative
vmware-server,-6.93626049299249E-07,negative
redux-thunk,-6.93530103604023E-07,negative
laravel-elixir,-6.93316511290917E-07,negative
ng2-bootstrap,-6.91401370304495E-07,negative
rebol,-6.90008514705602E-07,negative
red,-6.87260699287841E-07,negative
flashbuilder4,-6.87087063108181E-07,negative
rave-reports,-6.86866395232366E-07,negative
get,-6.8512319914736E-07,negative
azure-pipelines,-6.84962576177391E-07,negative
addeventlistener,-6.79443981438251E-07,negative
mgtwitterengine,-6.75391025503527E-07,negative
yui-datatable,-6.74627068029694E-07,negative
objectdataprovider,-6.73316756347739E-07,negative
yahoo-messenger,-6.73185506294424E-07,negative
msn,-6.71189073212058E-07,negative
url-rewriting,-6.68757837776067E-07,negative
plone-3.x,-6.67732152575878E-07,neutral
directdraw,-6.67478049331477E-07,negative
styled-components,-6.65698443633107E-07,negative
webpack-3,-6.65589149699116E-07,negative
singly-linked-list,-6.65574231433366E-07,negative
insert,-6.64352265879481E-07,negative
solana-cli,-6.64027966366408E-07,negative
kivy-language,-6.63805351797205E-07,negative
dataweave,-6.61147054317903E-07,negative
mmapi,-6.60836521154405E-07,negative
ruby-on-rails-4.1,-6.59525313359457E-07,negative
lapply,-6.57690003442736E-07,negative
hilo,-6.56189736314532E-07,negative
angular11,-6.54719019062895E-07,negative
piracy,-6.54478404023607E-07,negative
cakephp-2.4,-6.53939055125964E-07,negative
longlistselector,-6.53008985024529E-07,negative
asp.net-mvc-2-validation,-6.51994476178028E-07,negative
swift4.2,-6.50870416081688E-07,negative
python-turtle,-6.49469006926172E-07,negative
maskededitextender,-6.47671739657325E-07,negative
collapsiblepanelextender,-6.46692215383998E-07,negative
pixel-bender,-6.45451975966359E-07,neutral
stateserver,-6.44705146409808E-07,negative
google-apps-script,-6.43644592967715E-07,neutral
double,-6.43543617969773E-07,negative
entity-framework-core-2.1,-6.42134276487743E-07,negative
handleerror,-6.41911462205488E-07,negative
virtualmode,-6.39576877641792E-07,neutral
angular2-testing,-6.38519368238163E-07,negative
blazor-client-side,-6.38419088896567E-07,negative
huawei-developers,-6.36013580389298E-07,negative
mysql-error-1093,-6.35498452921529E-07,negative
urlrewriter.net,-6.35228827078956E-07,negative
erlang,-6.34133884234271E-07,negative
huawei-mobile-services,-6.32402824257756E-07,negative
scoped-storage,-6.30829287953187E-07,negative
.net-core-2.2,-6.2902055766222E-07,negative
fbjs,-6.28354279476861E-07,negative
jgrowl,-6.28008605786827E-07,negative
puremvc,-6.27528877424069E-07,negative
stl,-6.26716455152502E-07,negative
google-sheets-api,-6.26686663758238E-07,negative
angular12,-6.24171826424196E-07,negative
nvelocity,-6.2341860899099E-07,negative
sequelize.js,-6.22368011891688E-07,negative
zend-tool,-6.21603988123072E-07,negative
ios6,-6.21161340611142E-07,neutral
tensorflow-estimator,-6.20997873386489E-07,negative
authsub,-6.17808561845642E-07,neutral
mips,-6.17772030841284E-07,negative
impresspages,-6.17444574183464E-07,negative
boost-lambda,-6.17070641580521E-07,negative
zend-date,-6.15706189513757E-07,negative
objective-j,-6.15563762769997E-07,negative
ps3,-6.13963921390528E-07,negative
firefox3.6,-6.1132077941547E-07,negative
cypher,-6.1095262194892E-07,negative
iphone-x,-6.10757972852499E-07,negative
hpricot,-6.09914151981243E-07,negative
silex,-6.09664636516074E-07,negative
android-8.1-oreo,-6.0832353862892E-07,negative
cleartype,-6.06851968539916E-07,negative
joomla3.1,-6.05354827403052E-07,negative
python-elixir,-6.05339124669129E-07,negative
playn,-6.03263525278189E-07,negative
es6-promise,-6.01747807366779E-07,negative
s60,-5.99745961155759E-07,negative
clojure,-5.99499570521676E-07,negative
asp.net-development-serv,-5.98467490304316E-07,negative
ruby-on-rails-5.1,-5.97328909093874E-07,negative
operators,-5.97260387346907E-07,negative
eclipse-oxygen,-5.95297989569473E-07,negative
lxml,-5.94454974178288E-07,negative
meteorite,-5.9290353402839E-07,negative
tacit-programming,-5.91486683320037E-07,negative
std,-5.88399513794207E-07,negative
.net-core-2.0,-5.88120406797872E-07,negative
collectioneditor,-5.84141792948261E-07,negative
knowledge-management,-5.81783464323896E-07,negative
meteor-helper,-5.81571769197711E-07,negative
googletest,-5.81107760087077E-07,negative
attachment-fu,-5.80368917137955E-07,negative
compiled-query,-5.80156054406166E-07,negative
vaadin14,-5.7980575781527E-07,negative
protractor,-5.77825150581154E-07,neutral
qt5.7,-5.74695979239669E-07,negative
typo3-10.x,-5.74541945205136E-07,negative
java-13,-5.74229228116009E-07,negative
palm,-5.73460741624875E-07,negative
antlr,-5.73078165297633E-07,negative
pfobject,-5.72643489401456E-07,negative
mean,-5.72500244354317E-07,negative
genshi,-5.7170035276194E-07,negative
computer-science,-5.71562847990722E-07,negative
mysql-error-1146,-5.71517840747739E-07,negative
wise,-5.71453617390449E-07,negative
data-wrangling,-5.71360857444235E-07,negative
aol,-5.7070252254105E-07,neutral
andengine,-5.70531080212796E-07,negative
asp.net-core-2.0,-5.6930154998322E-07,neutral
geopandas,-5.69203680921059E-07,negative
versioninfo,-5.67160222278882E-07,negative
google-website-optimizer,-5.66574025900523E-07,negative
mochiweb,-5.66544427039461E-07,negative
registerclientscriptblock,-5.6526896683001E-07,negative
bll,-5.64910413145263E-07,negative
markitup,-5.64714124211187E-07,negative
twitter-bootstrap-rails,-5.64311458839506E-07,negative
elixir,-5.64154279893814E-07,negative
dtf,-5.6349021113029E-07,negative
pass-by-reference,-5.62045328106449E-07,negative
composite-controls,-5.61978863119711E-07,negative
binance-smart-chain,-5.59452179141499E-07,negative
apollostack,-5.58196392907365E-07,negative
content-management,-5.56564891837417E-07,negative
